image_id,l1_l4_vector_weighted,l1_l4_vector,l1_l4_cluster,keyword_vector_weighted,keyword_vector,keyword_cluster
112,"[0, 0, 80, 0]","[0, 0, 1.0, 0.0]",cluster 1,"[1, 0, 0, 0, 200, 200]","[1, 0, 0, 0, 2, 2]",cluster 6
126,"[2, 1, 160, 320]","[2, 1, 2.0, 4.0]",cluster 3,"[9, 5, 7, 4, 100, 1000]","[9, 5, 7, 4, 1, 10]",cluster 2
139,"[0, 0, 0, 240]","[0, 0, 0.0, 3.0]",cluster 2,"[2, 0, 0, 1, 100, 500]","[2, 0, 0, 1, 1, 5]",cluster 2
148,"[2, 0, 160, 320]","[2, 0, 2.0, 4.0]",cluster 3,"[3, 7, 4, 0, 600, 2800]","[3, 7, 4, 0, 6, 28]",cluster 2
149,"[1, 0, 0, 80]","[1, 0, 0.0, 1.0]",cluster 2,"[1, 0, 0, 1, 500, 100]","[1, 0, 0, 1, 5, 1]",cluster 0
152,"[0, 0, 240, 240]","[0, 0, 3.0, 3.0]",cluster 0,"[1, 1, 1, 4, 700, 600]","[1, 1, 1, 4, 7, 6]",cluster 5
184,"[0, 1, 160, 80]","[0, 1, 2.0, 1.0]",cluster 1,"[2, 3, 3, 0, 400, 200]","[2, 3, 3, 0, 4, 2]",cluster 5
188,"[0, 0, 160, 80]","[0, 0, 2.0, 1.0]",cluster 1,"[1, 2, 1, 0, 100, 500]","[1, 2, 1, 0, 1, 5]",cluster 2
196,"[3, 0, 80, 80]","[3, 0, 1.0, 1.0]",cluster 0,"[7, 0, 5, 0, 700, 200]","[7, 0, 5, 0, 7, 2]",cluster 0
203,"[0, 1, 320, 160]","[0, 1, 4.0, 2.0]",cluster 1,"[8, 0, 5, 5, 800, 200]","[8, 0, 5, 5, 8, 2]",cluster 0
213,"[3, 0, 0, 0]","[3, 0, 0.0, 0.0]",cluster 4,"[2, 0, 2, 0, 400, 400]","[2, 0, 2, 0, 4, 4]",cluster 6
220,"[0, 1, 80, 80]","[0, 1, 1.0, 1.0]",cluster 0,"[3, 0, 3, 0, 1000, 300]","[3, 0, 3, 0, 10, 3]",cluster 0
236,"[4, 1, 80, 240]","[4, 1, 1.0, 3.0]",cluster 3,"[3, 9, 11, 2, 800, 2500]","[3, 9, 11, 2, 8, 25]",cluster 2
242,"[2, 0, 80, 80]","[2, 0, 1.0, 1.0]",cluster 0,"[2, 2, 0, 1, 200, 1400]","[2, 2, 0, 1, 2, 14]",cluster 2
290,"[1, 0, 400, 160]","[1, 0, 5.0, 2.0]",cluster 1,"[0, 0, 8, 2, 700, 700]","[0, 0, 8, 2, 7, 7]",cluster 6
292,"[1, 2, 0, 160]","[1, 2, 0.0, 2.0]",cluster 2,"[4, 2, 4, 0, 200, 200]","[4, 2, 4, 0, 2, 2]",cluster 6
297,"[2, 1, 0, 160]","[2, 1, 0.0, 2.0]",cluster 2,"[2, 1, 4, 0, 500, 600]","[2, 1, 4, 0, 5, 6]",cluster 2
304,"[3, 0, 240, 800]","[3, 0, 3.0, 10.0]",cluster 3,"[8, 2, 6, 1, 3200, 900]","[8, 2, 6, 1, 32, 9]",cluster 0
317,"[0, 1, 320, 400]","[0, 1, 4.0, 5.0]",cluster 3,"[6, 1, 4, 0, 400, 1200]","[6, 1, 4, 0, 4, 12]",cluster 2
324,"[0, 0, 240, 80]","[0, 0, 3.0, 1.0]",cluster 1,"[0, 0, 2, 1, 400, 200]","[0, 0, 2, 1, 4, 2]",cluster 5
330,"[0, 0, 240, 0]","[0, 0, 3.0, 0.0]",cluster 1,"[1, 0, 3, 0, 200, 100]","[1, 0, 3, 0, 2, 1]",cluster 5
332,"[1, 0, 0, 0]","[1, 0, 0.0, 0.0]",cluster 4,"[0, 0, 2, 0, 100, 200]","[0, 0, 2, 0, 1, 2]",cluster 2
337,"[2, 0, 160, 320]","[2, 0, 2.0, 4.0]",cluster 3,"[3, 0, 3, 0, 300, 900]","[3, 0, 3, 0, 3, 9]",cluster 2
339,"[0, 0, 80, 0]","[0, 0, 1.0, 0.0]",cluster 1,"[0, 0, 0, 0, 100, 300]","[0, 0, 0, 0, 1, 3]",cluster 2
380,"[0, 1, 80, 80]","[0, 1, 1.0, 1.0]",cluster 0,"[3, 0, 3, 0, 300, 800]","[3, 0, 3, 0, 3, 8]",cluster 2
407,"[3, 0, 0, 160]","[3, 0, 0.0, 2.0]",cluster 2,"[6, 4, 8, 0, 600, 1500]","[6, 4, 8, 0, 6, 15]",cluster 2
413,"[0, 0, 0, 80]","[0, 0, 0.0, 1.0]",cluster 2,"[3, 2, 3, 1, 400, 300]","[3, 2, 3, 1, 4, 3]",cluster 5
433,"[1, 0, 80, 80]","[1, 0, 1.0, 1.0]",cluster 0,"[4, 0, 3, 0, 200, 300]","[4, 0, 3, 0, 2, 3]",cluster 2
436,"[2, 1, 0, 0]","[2, 1, 0.0, 0.0]",cluster 4,"[3, 0, 2, 0, 600, 300]","[3, 0, 2, 0, 6, 3]",cluster 5
442,"[1, 0, 80, 160]","[1, 0, 1.0, 2.0]",cluster 3,"[0, 0, 3, 2, 300, 100]","[0, 0, 3, 2, 3, 1]",cluster 0
447,"[0, 0, 80, 0]","[0, 0, 1.0, 0.0]",cluster 1,"[0, 1, 1, 0, 300, 100]","[0, 1, 1, 0, 3, 1]",cluster 0
491,"[0, 0, 160, 160]","[0, 0, 2.0, 2.0]",cluster 0,"[0, 0, 2, 1, 300, 1600]","[0, 0, 2, 1, 3, 16]",cluster 2
492,"[0, 1, 0, 320]","[0, 1, 0.0, 4.0]",cluster 2,"[2, 0, 3, 7, 600, 100]","[2, 0, 3, 7, 6, 1]",cluster 0
494,"[2, 2, 320, 320]","[2, 2, 4.0, 4.0]",cluster 0,"[0, 4, 6, 0, 1300, 1100]","[0, 4, 6, 0, 13, 11]",cluster 5
497,"[2, 0, 0, 80]","[2, 0, 0.0, 1.0]",cluster 2,"[0, 2, 1, 0, 100, 400]","[0, 2, 1, 0, 1, 4]",cluster 2
502,"[1, 1, 80, 80]","[1, 1, 1.0, 1.0]",cluster 0,"[3, 1, 3, 0, 300, 300]","[3, 1, 3, 0, 3, 3]",cluster 6
547,"[2, 2, 0, 0]","[2, 2, 0.0, 0.0]",cluster 4,"[3, 2, 7, 0, 400, 1200]","[3, 2, 7, 0, 4, 12]",cluster 2
572,"[0, 2, 80, 160]","[0, 2, 1.0, 2.0]",cluster 3,"[6, 1, 5, 0, 500, 300]","[6, 1, 5, 0, 5, 3]",cluster 5
604,"[8, 0, 80, 240]","[8, 0, 1.0, 3.0]",cluster 3,"[12, 5, 10, 4, 900, 2500]","[12, 5, 10, 4, 9, 25]",cluster 2
610,"[0, 0, 80, 0]","[0, 0, 1.0, 0.0]",cluster 1,"[1, 2, 2, 0, 300, 500]","[1, 2, 2, 0, 3, 5]",cluster 2
614,"[1, 0, 80, 160]","[1, 0, 1.0, 2.0]",cluster 3,"[4, 1, 5, 2, 1000, 300]","[4, 1, 5, 2, 10, 3]",cluster 0
639,"[1, 0, 160, 320]","[1, 0, 2.0, 4.0]",cluster 3,"[0, 1, 2, 2, 100, 600]","[0, 1, 2, 2, 1, 6]",cluster 2
643,"[2, 0, 0, 80]","[2, 0, 0.0, 1.0]",cluster 2,"[0, 1, 2, 0, 100, 1000]","[0, 1, 2, 0, 1, 10]",cluster 2
650,"[0, 1, 0, 160]","[0, 1, 0.0, 2.0]",cluster 2,"[2, 3, 4, 0, 100, 300]","[2, 3, 4, 0, 1, 3]",cluster 2
658,"[1, 1, 80, 0]","[1, 1, 1.0, 0.0]",cluster 1,"[2, 1, 1, 0, 400, 200]","[2, 1, 1, 0, 4, 2]",cluster 5
660,"[1, 0, 320, 240]","[1, 0, 4.0, 3.0]",cluster 1,"[4, 0, 2, 0, 1200, 900]","[4, 0, 2, 0, 12, 9]",cluster 5
676,"[0, 0, 80, 0]","[0, 0, 1.0, 0.0]",cluster 1,"[1, 0, 2, 0, 400, 900]","[1, 0, 2, 0, 4, 9]",cluster 2
690,"[1, 0, 160, 160]","[1, 0, 2.0, 2.0]",cluster 0,"[0, 0, 2, 1, 100, 300]","[0, 0, 2, 1, 1, 3]",cluster 2
736,"[1, 2, 0, 80]","[1, 2, 0.0, 1.0]",cluster 2,"[3, 0, 5, 1, 200, 300]","[3, 0, 5, 1, 2, 3]",cluster 2
754,"[2, 0, 160, 160]","[2, 0, 2.0, 2.0]",cluster 0,"[7, 3, 3, 0, 600, 1500]","[7, 3, 3, 0, 6, 15]",cluster 2
758,"[4, 1, 80, 80]","[4, 1, 1.0, 1.0]",cluster 0,"[0, 3, 7, 0, 600, 2500]","[0, 3, 7, 0, 6, 25]",cluster 2
765,"[1, 0, 80, 320]","[1, 0, 1.0, 4.0]",cluster 3,"[2, 0, 2, 1, 600, 1400]","[2, 0, 2, 1, 6, 14]",cluster 2
790,"[0, 2, 0, 400]","[0, 2, 0.0, 5.0]",cluster 2,"[0, 6, 1, 0, 500, 200]","[0, 6, 1, 0, 5, 2]",cluster 0
828,"[1, 0, 80, 160]","[1, 0, 1.0, 2.0]",cluster 3,"[5, 0, 3, 2, 100, 100]","[5, 0, 3, 2, 1, 1]",cluster 6
839,"[1, 1, 0, 80]","[1, 1, 0.0, 1.0]",cluster 2,"[5, 1, 5, 0, 100, 100]","[5, 1, 5, 0, 1, 1]",cluster 6
846,"[2, 0, 0, 80]","[2, 0, 0.0, 1.0]",cluster 2,"[2, 0, 2, 1, 100, 100]","[2, 0, 2, 1, 1, 1]",cluster 6
859,"[0, 0, 80, 80]","[0, 0, 1.0, 1.0]",cluster 0,"[0, 0, 0, 0, 200, 100]","[0, 0, 0, 0, 2, 1]",cluster 5
869,"[2, 0, 240, 160]","[2, 0, 3.0, 2.0]",cluster 1,"[4, 2, 13, 5, 1100, 1300]","[4, 2, 13, 5, 11, 13]",cluster 2
882,"[2, 0, 0, 160]","[2, 0, 0.0, 2.0]",cluster 2,"[0, 0, 0, 0, 200, 1200]","[0, 0, 0, 0, 2, 12]",cluster 2
898,"[0, 0, 0, 160]","[0, 0, 0.0, 2.0]",cluster 2,"[2, 0, 1, 0, 100, 1000]","[2, 0, 1, 0, 1, 10]",cluster 2
904,"[0, 1, 80, 80]","[0, 1, 1.0, 1.0]",cluster 0,"[3, 0, 3, 0, 1000, 300]","[3, 0, 3, 0, 10, 3]",cluster 0
909,"[5, 1, 400, 720]","[5, 1, 5.0, 9.0]",cluster 3,"[13, 16, 12, 0, 1500, 1300]","[13, 16, 11, 0, 15, 12]",cluster 5
920,"[0, 0, 80, 160]","[0, 0, 1.0, 2.0]",cluster 3,"[2, 0, 2, 0, 100, 100]","[2, 0, 2, 0, 1, 1]",cluster 6
937,"[2, 0, 0, 80]","[2, 0, 0.0, 1.0]",cluster 2,"[3, 2, 4, 0, 300, 800]","[3, 2, 4, 0, 3, 8]",cluster 2
950,"[0, 0, 0, 160]","[0, 0, 0.0, 2.0]",cluster 2,"[5, 0, 2, 1, 800, 400]","[5, 0, 2, 1, 8, 4]",cluster 5
994,"[0, 0, 160, 160]","[0, 0, 2.0, 2.0]",cluster 0,"[3, 0, 6, 0, 1300, 800]","[3, 0, 6, 0, 12, 8]",cluster 5
998,"[0, 1, 80, 80]","[0, 1, 1.0, 1.0]",cluster 0,"[7, 0, 5, 0, 300, 800]","[7, 0, 5, 0, 3, 8]",cluster 2
999,"[1, 1, 80, 160]","[1, 1, 1.0, 2.0]",cluster 3,"[5, 0, 9, 2, 400, 200]","[4, 0, 9, 2, 3, 2]",cluster 5
1006,"[0, 0, 80, 80]","[0, 0, 1.0, 1.0]",cluster 0,"[1, 2, 1, 0, 100, 100]","[1, 2, 1, 0, 1, 1]",cluster 6
1011,"[1, 0, 80, 80]","[1, 0, 1.0, 1.0]",cluster 0,"[1, 5, 5, 1, 800, 800]","[1, 5, 5, 1, 8, 8]",cluster 6
1044,"[1, 2, 160, 80]","[1, 2, 2.0, 1.0]",cluster 1,"[10, 0, 7, 2, 300, 700]","[10, 0, 7, 2, 3, 7]",cluster 2
1068,"[2, 0, 80, 0]","[2, 0, 1.0, 0.0]",cluster 1,"[0, 1, 2, 1, 400, 800]","[0, 1, 2, 1, 4, 8]",cluster 2
1081,"[0, 2, 160, 160]","[0, 2, 2.0, 2.0]",cluster 0,"[10, 1, 11, 0, 200, 700]","[10, 1, 11, 0, 2, 7]",cluster 2
1087,"[2, 2, 0, 0]","[2, 2, 0.0, 0.0]",cluster 4,"[3, 2, 4, 0, 500, 900]","[3, 2, 4, 0, 5, 9]",cluster 2
1100,"[2, 0, 240, 400]","[2, 0, 3.0, 5.0]",cluster 3,"[1, 3, 4, 4, 1100, 600]","[1, 3, 4, 4, 11, 6]",cluster 5
1112,"[2, 1, 0, 80]","[2, 1, 0.0, 1.0]",cluster 2,"[0, 0, 6, 2, 200, 500]","[0, 0, 6, 2, 2, 5]",cluster 2
1143,"[0, 0, 0, 80]","[0, 0, 0.0, 1.0]",cluster 2,"[1, 0, 0, 1, 400, 800]","[1, 0, 0, 1, 4, 8]",cluster 2
1146,"[1, 0, 0, 160]","[1, 0, 0.0, 2.0]",cluster 2,"[4, 3, 5, 2, 200, 1700]","[4, 3, 5, 2, 2, 17]",cluster 2
1153,"[1, 0, 0, 80]","[1, 0, 0.0, 1.0]",cluster 2,"[4, 1, 0, 0, 100, 100]","[4, 1, 0, 0, 1, 1]",cluster 6
1177,"[1, 1, 0, 160]","[1, 1, 0.0, 2.0]",cluster 2,"[3, 0, 5, 0, 500, 200]","[3, 0, 5, 0, 5, 2]",cluster 0
1178,"[1, 1, 0, 160]","[1, 1, 0.0, 2.0]",cluster 2,"[1, 1, 3, 0, 100, 400]","[1, 1, 3, 0, 1, 4]",cluster 2
1192,"[3, 0, 0, 80]","[3, 0, 0.0, 1.0]",cluster 2,"[2, 0, 5, 2, 300, 600]","[2, 0, 5, 2, 3, 6]",cluster 2
1205,"[0, 0, 160, 160]","[0, 0, 2.0, 2.0]",cluster 0,"[6, 0, 2, 2, 600, 400]","[6, 0, 2, 2, 6, 4]",cluster 5
1206,"[1, 0, 320, 160]","[1, 0, 4.0, 2.0]",cluster 1,"[1, 5, 4, 0, 900, 500]","[1, 5, 4, 0, 9, 5]",cluster 5
1214,"[0, 2, 80, 80]","[0, 2, 1.0, 1.0]",cluster 0,"[10, 1, 5, 5, 1000, 400]","[10, 1, 5, 5, 10, 4]",cluster 0
1215,"[0, 2, 160, 160]","[0, 2, 2.0, 2.0]",cluster 0,"[5, 3, 9, 0, 300, 500]","[5, 3, 9, 0, 3, 5]",cluster 2
1225,"[1, 0, 160, 0]","[1, 0, 2.0, 0.0]",cluster 1,"[1, 0, 1, 0, 100, 200]","[1, 0, 1, 0, 1, 2]",cluster 2
1232,"[1, 0, 240, 240]","[1, 0, 3.0, 3.0]",cluster 0,"[1, 4, 5, 2, 800, 1000]","[1, 4, 5, 2, 8, 10]",cluster 2
1246,"[1, 1, 0, 160]","[1, 1, 0.0, 2.0]",cluster 2,"[3, 0, 5, 0, 500, 200]","[3, 0, 5, 0, 5, 2]",cluster 0
1251,"[0, 0, 160, 160]","[0, 0, 2.0, 2.0]",cluster 0,"[6, 2, 6, 0, 700, 100]","[6, 2, 6, 0, 7, 1]",cluster 0
1277,"[0, 0, 80, 0]","[0, 0, 1.0, 0.0]",cluster 1,"[1, 3, 4, 0, 100, 300]","[1, 3, 4, 0, 1, 3]",cluster 2
1285,"[0, 3, 80, 0]","[0, 3, 1.0, 0.0]",cluster 1,"[3, 4, 2, 0, 300, 900]","[3, 4, 2, 0, 3, 9]",cluster 2
1294,"[5, 1, 160, 240]","[5, 1, 2.0, 3.0]",cluster 3,"[9, 6, 5, 3, 300, 1200]","[9, 6, 5, 3, 3, 12]",cluster 2
1295,"[0, 1, 80, 80]","[0, 1, 1.0, 1.0]",cluster 0,"[2, 3, 3, 0, 400, 1700]","[2, 3, 3, 0, 4, 17]",cluster 2
1301,"[4, 1, 0, 80]","[4, 1, 0.0, 1.0]",cluster 2,"[6, 2, 10, 0, 400, 2200]","[6, 2, 10, 0, 4, 22]",cluster 2
1303,"[0, 0, 0, 80]","[0, 0, 0.0, 1.0]",cluster 2,"[0, 0, 0, 0, 100, 100]","[0, 0, 0, 0, 1, 1]",cluster 6
1326,"[6, 0, 80, 80]","[6, 0, 1.0, 1.0]",cluster 0,"[1, 0, 6, 0, 100, 1000]","[1, 0, 6, 0, 1, 10]",cluster 2
1388,"[1, 0, 160, 160]","[1, 0, 2.0, 2.0]",cluster 0,"[1, 1, 3, 0, 600, 300]","[1, 1, 3, 0, 6, 3]",cluster 5
1400,"[0, 0, 80, 160]","[0, 0, 1.0, 2.0]",cluster 3,"[0, 0, 4, 1, 700, 200]","[0, 0, 4, 1, 7, 2]",cluster 0
1428,"[1, 0, 0, 160]","[1, 0, 0.0, 2.0]",cluster 2,"[0, 4, 0, 0, 200, 200]","[0, 4, 0, 0, 2, 2]",cluster 6
1439,"[0, 0, 80, 80]","[0, 0, 1.0, 1.0]",cluster 0,"[1, 0, 0, 0, 200, 300]","[1, 0, 0, 0, 2, 3]",cluster 2
1453,"[0, 0, 0, 160]","[0, 0, 0.0, 2.0]",cluster 2,"[4, 0, 1, 1, 400, 100]","[4, 0, 1, 1, 4, 1]",cluster 0
1465,"[0, 0, 0, 240]","[0, 0, 0.0, 3.0]",cluster 2,"[1, 0, 1, 2, 100, 100]","[1, 0, 1, 2, 1, 1]",cluster 6
1499,"[3, 0, 0, 160]","[3, 0, 0.0, 2.0]",cluster 2,"[5, 1, 2, 1, 400, 900]","[5, 1, 2, 1, 4, 9]",cluster 2
1503,"[1, 2, 80, 160]","[1, 2, 1.0, 2.0]",cluster 3,"[13, 3, 11, 2, 500, 600]","[13, 3, 11, 2, 4, 6]",cluster 2
1510,"[0, 0, 80, 80]","[0, 0, 1.0, 1.0]",cluster 0,"[3, 0, 1, 0, 200, 100]","[3, 0, 1, 0, 2, 1]",cluster 5
1519,"[2, 0, 80, 80]","[2, 0, 1.0, 1.0]",cluster 0,"[4, 0, 0, 2, 400, 400]","[4, 0, 0, 2, 4, 4]",cluster 6
1576,"[1, 2, 80, 560]","[1, 2, 1.0, 7.0]",cluster 3,"[8, 1, 6, 0, 1200, 1200]","[8, 1, 6, 0, 12, 12]",cluster 6
1581,"[2, 1, 80, 0]","[2, 1, 1.0, 0.0]",cluster 1,"[4, 3, 4, 0, 200, 800]","[4, 3, 4, 0, 2, 8]",cluster 2
1601,"[0, 0, 80, 80]","[0, 0, 1.0, 1.0]",cluster 0,"[1, 0, 2, 2, 300, 200]","[1, 0, 2, 2, 3, 2]",cluster 5
1615,"[0, 0, 160, 240]","[0, 0, 2.0, 3.0]",cluster 3,"[4, 3, 9, 0, 1000, 600]","[4, 3, 9, 0, 10, 6]",cluster 5
1626,"[1, 0, 0, 80]","[1, 0, 0.0, 1.0]",cluster 2,"[2, 0, 2, 1, 500, 200]","[2, 0, 2, 1, 5, 2]",cluster 0
1633,"[3, 2, 80, 160]","[3, 2, 1.0, 2.0]",cluster 3,"[4, 3, 1, 3, 900, 1900]","[4, 3, 1, 3, 9, 19]",cluster 2
1659,"[0, 2, 80, 80]","[0, 2, 1.0, 1.0]",cluster 0,"[11, 3, 9, 1, 500, 500]","[11, 3, 9, 1, 5, 5]",cluster 6
1697,"[3, 0, 80, 80]","[3, 0, 1.0, 1.0]",cluster 0,"[6, 2, 4, 2, 300, 300]","[6, 2, 4, 2, 3, 3]",cluster 6
1711,"[2, 1, 0, 80]","[2, 1, 0.0, 1.0]",cluster 2,"[5, 0, 4, 0, 400, 200]","[5, 0, 4, 0, 4, 2]",cluster 5
1712,"[2, 0, 0, 80]","[2, 0, 0.0, 1.0]",cluster 2,"[2, 0, 0, 0, 600, 200]","[2, 0, 0, 0, 6, 2]",cluster 0
1715,"[1, 1, 0, 0]","[1, 1, 0.0, 0.0]",cluster 4,"[2, 3, 4, 1, 100, 600]","[2, 3, 4, 1, 1, 6]",cluster 2
1718,"[1, 0, 0, 0]","[1, 0, 0.0, 0.0]",cluster 4,"[0, 1, 0, 1, 200, 200]","[0, 1, 0, 1, 2, 2]",cluster 6
1726,"[3, 0, 0, 400]","[3, 0, 0.0, 5.0]",cluster 2,"[6, 0, 4, 0, 100, 100]","[6, 0, 4, 0, 1, 1]",cluster 6
1748,"[1, 1, 240, 320]","[1, 1, 3.0, 4.0]",cluster 3,"[6, 3, 7, 1, 900, 800]","[6, 3, 7, 1, 9, 8]",cluster 5
1750,"[0, 2, 0, 160]","[0, 2, 0.0, 2.0]",cluster 2,"[8, 2, 6, 0, 500, 400]","[8, 2, 6, 0, 5, 4]",cluster 5
1751,"[5, 2, 0, 80]","[5, 2, 0.0, 1.0]",cluster 2,"[3, 0, 12, 1, 100, 1400]","[3, 0, 12, 1, 1, 14]",cluster 2
1755,"[1, 1, 160, 160]","[1, 1, 2.0, 2.0]",cluster 0,"[11, 0, 14, 1, 100, 1200]","[11, 0, 14, 1, 1, 12]",cluster 2
1757,"[1, 0, 80, 160]","[1, 0, 1.0, 2.0]",cluster 3,"[2, 3, 1, 0, 100, 700]","[2, 3, 1, 0, 1, 7]",cluster 2
1761,"[1, 0, 160, 0]","[1, 0, 2.0, 0.0]",cluster 1,"[2, 6, 3, 0, 400, 200]","[2, 6, 3, 0, 4, 2]",cluster 5
1777,"[4, 1, 80, 80]","[4, 1, 1.0, 1.0]",cluster 0,"[12, 4, 8, 5, 300, 800]","[12, 4, 8, 5, 3, 8]",cluster 2
1779,"[3, 0, 240, 160]","[3, 0, 3.0, 2.0]",cluster 1,"[1, 1, 2, 3, 800, 300]","[1, 1, 2, 3, 8, 3]",cluster 0
1790,"[0, 1, 80, 240]","[0, 1, 1.0, 3.0]",cluster 3,"[9, 3, 9, 1, 200, 500]","[9, 3, 9, 1, 2, 5]",cluster 2
1802,"[1, 0, 320, 240]","[1, 0, 4.0, 3.0]",cluster 1,"[7, 3, 11, 1, 1300, 1500]","[7, 3, 11, 1, 13, 15]",cluster 2
1803,"[2, 0, 0, 320]","[2, 0, 0.0, 4.0]",cluster 2,"[3, 2, 2, 2, 500, 500]","[3, 2, 2, 2, 5, 5]",cluster 6
1818,"[1, 0, 80, 80]","[1, 0, 1.0, 1.0]",cluster 0,"[4, 2, 2, 0, 200, 400]","[4, 2, 2, 0, 2, 4]",cluster 2
1821,"[3, 0, 160, 80]","[3, 0, 2.0, 1.0]",cluster 1,"[0, 0, 2, 1, 500, 600]","[0, 0, 2, 1, 5, 6]",cluster 2
1838,"[2, 0, 0, 160]","[2, 0, 0.0, 2.0]",cluster 2,"[1, 5, 2, 2, 200, 300]","[1, 5, 2, 2, 2, 3]",cluster 2
1839,"[0, 0, 0, 160]","[0, 0, 0.0, 2.0]",cluster 2,"[3, 0, 2, 2, 400, 300]","[3, 0, 2, 2, 4, 3]",cluster 5
1861,"[1, 1, 80, 0]","[1, 1, 1.0, 0.0]",cluster 1,"[5, 2, 3, 1, 100, 600]","[5, 2, 3, 1, 1, 6]",cluster 2
1874,"[2, 2, 0, 320]","[2, 2, 0.0, 4.0]",cluster 2,"[3, 0, 6, 2, 500, 900]","[3, 0, 6, 2, 5, 9]",cluster 2
1894,"[0, 1, 0, 80]","[0, 1, 0.0, 1.0]",cluster 2,"[0, 1, 3, 0, 100, 100]","[0, 1, 3, 0, 1, 1]",cluster 6
1911,"[3, 0, 240, 160]","[3, 0, 3.0, 2.0]",cluster 1,"[3, 1, 8, 2, 200, 1400]","[3, 1, 8, 2, 2, 14]",cluster 2
1915,"[0, 0, 80, 0]","[0, 0, 1.0, 0.0]",cluster 1,"[5, 1, 0, 0, 500, 300]","[5, 1, 0, 0, 5, 3]",cluster 5
1917,"[3, 0, 640, 160]","[3, 0, 8.0, 2.0]",cluster 1,"[3, 0, 4, 1, 600, 500]","[3, 0, 4, 1, 6, 5]",cluster 5
1925,"[2, 1, 0, 160]","[2, 1, 0.0, 2.0]",cluster 2,"[4, 1, 7, 0, 1200, 200]","[4, 1, 7, 0, 12, 2]",cluster 0
1945,"[1, 0, 0, 0]","[1, 0, 0.0, 0.0]",cluster 4,"[1, 0, 1, 0, 200, 100]","[1, 0, 1, 0, 2, 1]",cluster 5
1946,"[3, 2, 400, 240]","[3, 2, 5.0, 3.0]",cluster 1,"[6, 4, 12, 2, 1200, 2100]","[6, 4, 12, 2, 12, 21]",cluster 2
1947,"[1, 5, 320, 80]","[1, 5, 4.0, 1.0]",cluster 1,"[12, 3, 17, 1, 1600, 700]","[12, 3, 17, 1, 16, 7]",cluster 0
1953,"[0, 2, 160, 80]","[0, 2, 2.0, 1.0]",cluster 1,"[2, 1, 8, 2, 300, 400]","[2, 1, 8, 2, 3, 4]",cluster 2
1963,"[1, 1, 240, 320]","[1, 1, 3.0, 4.0]",cluster 3,"[0, 1, 12, 2, 100, 1100]","[0, 1, 12, 2, 1, 11]",cluster 2
1979,"[0, 0, 160, 240]","[0, 0, 2.0, 3.0]",cluster 3,"[3, 1, 4, 2, 300, 100]","[3, 1, 4, 2, 3, 1]",cluster 0
2007,"[5, 1, 240, 240]","[5, 1, 3.0, 3.0]",cluster 0,"[4, 6, 9, 11, 1700, 1500]","[4, 6, 9, 11, 17, 15]",cluster 5
2008,"[0, 0, 80, 240]","[0, 0, 1.0, 3.0]",cluster 3,"[6, 2, 4, 2, 300, 300]","[6, 2, 4, 2, 3, 3]",cluster 6
2016,"[1, 0, 0, 80]","[1, 0, 0.0, 1.0]",cluster 2,"[4, 0, 0, 0, 300, 400]","[4, 0, 0, 0, 3, 4]",cluster 2
2018,"[1, 0, 80, 240]","[1, 0, 1.0, 3.0]",cluster 3,"[7, 1, 5, 1, 1900, 200]","[7, 1, 5, 1, 19, 2]",cluster 0
2025,"[4, 1, 0, 240]","[4, 1, 0.0, 3.0]",cluster 2,"[7, 4, 8, 0, 100, 900]","[7, 4, 8, 0, 1, 9]",cluster 2
2049,"[2, 0, 80, 80]","[2, 0, 1.0, 1.0]",cluster 0,"[1, 1, 0, 0, 100, 300]","[1, 1, 0, 0, 1, 3]",cluster 2
2050,"[0, 0, 160, 80]","[0, 0, 2.0, 1.0]",cluster 1,"[1, 0, 0, 0, 400, 900]","[1, 0, 0, 0, 4, 9]",cluster 2
